id,index,toxic_sentence,neutral_sentence,lang,content_score,toxic_pairwise_score,toxic_fluency,neutral_fluency,fluency_score
SomethingAwful_4230_am,4230,2 በዚ የሚሳለቅ ካለ ዘረኝነት ያሰከረው መሀይምነት የፀናበት ማገናዘብ የማይችል እንስሳ ነው።,2 በዚ የሚሳለቅ ካለ ዘረኝነት ያሰከረው መሀይምነት የፀናበት ማገናዘብ የማይችል እንስሳ ነው።,am,1,0.5,0.5,0.5,1
SomethingAwful_4234_am,4234,አንተ ነጫጭባ ሽማግሌ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ,አንተ የግልገሎችህ መሸነፍ አላስተኛ አለህ አይደል? ቆይ ጠብቀኝ,am,1,1.0,1.0,1.0,1
SomethingAwful_4242_am,4242,መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : ዘረኛ ህዝብ ጠል ስለሆንክ,መቶዎችና አንድ ወይም ሁለት ግድያዎች ላንተ እኩል ናቸው:: ግልፅ ነው : የዘረኛ ህዝብ ጠል ስለሆንክ,am,1,0.5,0.5,0.5,1
SomethingAwful_4247_am,4247,እውነት ነው ዱሮም ባቱ ስንማር ንፍጣም ቅል ራስ በበታችነት የሚሰቃይ በሽተኛ ነበር።,እውነት ነው ዱሮም ባቱ ስንማር ትልቅ የበታችነት ስሜት ነበረው።,am,1,1.0,1.0,1.0,1
SomethingAwful_4256_am,4256,ወቅቱን አለመጠበቁ ሊያነጋግር ይችል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃውን ቅርብ ከማድረግ አኳይ ሊል ይችላል ጮሌ ካድሬ ??።,ወቅቱን አለመጠበቁ ሊያነጋግር ይችል ይሆናል። ነገርግን ወቅቱን በተለያየ መንገድ ሰንዶ ማሰወቀመጥ ለሚሻ ጥሩ መረጃ ለመስጠት መረጃ,am,1,1.0,0.5,0.5,1
SomethingAwful_4262_am,4262,ኣንተ ቅጥረኛ ዝምብለህ ሸቅል ነገ ግን ዋጋዉ እንዳይከብድህ,ዝምብለህ ተግበር ነገ ግን ዋጋዉ እንዳይከብድህ,am,1,1.0,1.0,1.0,1
SomethingAwful_4269_am,4269,ዝም ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ ሳትወድ አክቲቪስት አረገህ ????,ዝም ብየ ሳስታውስ ጨዋታ ምትወድ ልጅ ነበርክ ግን ይህ ግም ፖለቲካ ሳትወድ አክቲቪስት አረገህ ????,am,1,0.5,0.5,0.5,1
SomethingAwful_4280_am,4280,ያው ባለጌ ያሳደገህ ወሮበላ ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ . የት ነበሩ? ብትል የውሸት ኃ,ያው ያሳደገህ ጥሩ ያልሆነ ሰው ስለሆንክ እንጂ ክ/ት ፕሬዚደንታችንን እርስዎ እርሳቸው ብለህ በማሰብ . የት ነበሩ?,am,1,1.0,0.5,0.5,1
SomethingAwful_4292_am,4292,የታደለችዉማ ይሄን አረመኔ ዘረኛ ልጇን አሁን በለማየቷ ነወ።,የታደለችዉማ ይሄን ከፋፋይ ወገንተኛ ልጇን አሁን በለማየቷ ነወ።,am,0,0.0,0.5,0.5,1
SomethingAwful_4322_am,4322,አለሌ ሸሌ ነሽ ባክሽ እውቀት ኖሮሽ አይደለም እምታወሪው ብትጠየቂ እምትመልሽው መልስ የለሽም አፋሽ ይህንን ያክል ክፍትና ግም ከሆነ እ,አለሌ እውቀት ኖሮሽ አይደለም እምታወሪው ብትጠየቂ እምትመልሽው መልስ የለሽም,am,1,1.0,0.5,0.5,1
SomethingAwful_4331_am,4331,ትገርማላችሁ። ችግራችን እኮ ክፉ እናንተ በላይ ብልጥ ያለ ሰለማይመሳልችሁ ነው። ያ ደደብ ያልከው በቂጥህ ብሁለት ሳምንት ዘጭ አደረገህ።,ትገርማላችሁ። ችግራችን እኮ እናንተ በላይ ብልጥ ያለ ስለማይመሳልችሁ ነው።,am,0,1.0,0.5,1.0,1
SomethingAwful_4333_am,4333,ብትልም መብቷ ነው:: የኦነግ ደጋፊም ብትሆ እንዲያው:: እንዳንተ ደንቆሮ መሆን ግን መብት አይደለም::ምርጫ ነው,ብትልም መብቷ ነው:: የኦነግ ደጋፊም ብትሆ እንዲያው:: እንዳንተ ደጋፊ መሆን ግን መብት አይደለም::ምርጫ ነው,am,0,1.0,0.5,0.5,1
